category.name,category.desc,project.name,project.link,project.desc
Bean Mapping,Frameworks that ease bean mapping.,dOOv,https://github.com/doov-io/doov,"Provides fluent API for typesafe domain model validation and mapping. It uses annotations, code generation and a type safe DSL to make bean validation and mapping fast and easy."
Bean Mapping,Frameworks that ease bean mapping.,Dozer,https://github.com/DozerMapper/dozer,Mapper that copies data from one object to another using annotations and API or XML configuration.
Bean Mapping,Frameworks that ease bean mapping.,JMapper,https://github.com/jmapper-framework/jmapper-core,Uses byte code manipulation for lightning-fast mapping. Supports annotations and API or XML configuration.
Bean Mapping,Frameworks that ease bean mapping.,MapStruct,https://github.com/mapstruct/mapstruct,"Code generator that simplifies mappings between different bean types, based on a convention-over-configuration approach."
Bean Mapping,Frameworks that ease bean mapping.,ModelMapper,https://github.com/modelmapper/modelmapper,Intelligent object mapping library that automatically maps objects to each other.
Bean Mapping,Frameworks that ease bean mapping.,Orika,https://github.com/orika-mapper/orika,JavaBean-mapping framework that recursively copies
Bean Mapping,Frameworks that ease bean mapping.,reMap,https://github.com/remondis-it/remap,Lambda and method handle-based mapping which requires code and not annotations if objects have different names.
Bean Mapping,Frameworks that ease bean mapping.,Selma,https://github.com/xebia-france/selma,Annotation processor-based bean mapper.
Build,Tools that handle the build cycle and dependencies of an application.,Apache Maven,https://maven.apache.org,"Declarative build and dependency management that favors convention over configuration. It might be preferable to Apache Ant, which uses a rather procedural approach and can be difficult to maintain."
Build,Tools that handle the build cycle and dependencies of an application.,Bazel,https://bazel.build,Tool from Google that builds code quickly and reliably.
Build,Tools that handle the build cycle and dependencies of an application.,Buck,https://github.com/facebook/buck,"Encourages the creation of small, reusable modules consisting of code and resources."
Build,Tools that handle the build cycle and dependencies of an application.,Gradle,https://gradle.org,Incremental builds programmed via Groovy instead of declaring XML. Works well with Maven's dependency management.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,ASM,https://asm.ow2.io,"All-purpose, low-level bytecode manipulation and analysis."
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Byte Buddy,https://bytebuddy.net,Further simplifies bytecode generation with a fluent API.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,bytecode-viewer,https://github.com/Konloch/bytecode-viewer,Java 8 Jar & Android APK reverse engineering suite.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Byteman,https://byteman.jboss.org,Manipulate bytecode at runtime via DSL
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,cglib,https://github.com/cglib/cglib,Bytecode generation library.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Javassist,https://github.com/jboss-javassist/javassist,Tries to simplify bytecode editing.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Mixin,https://github.com/SpongePowered/Mixin,Manipulate bytecode at runtime using real Java code.
Bytecode Manipulation,Libraries to manipulate bytecode programmatically.,Perses,https://github.com/nicolasmanic/perses,Dynamically injects failure/latency at the bytecode level according to principles of chaos engineering.
Caching,Libraries that provide caching facilities.,cache2k,https://cache2k.org,In-memory high performance caching library.
